ticket_id,customer_id,order_id,created_at,resolved_at,issue_type,priority,status,channel,customer_satisfaction_score,description
TKT00000001,CUST003486,ORD00010426,2026-06-11 20:06:46,2026-06-15 19:06:46,Refund Request,High,Resolved,Phone,5.0,Customer reported an issue related to delivery delay.
TKT00000002,CUST001908,,2026-01-07 11:45:29,2026-01-15 10:45:29,Delivery Delay,High,Resolved,Chat,5.0,Customer reported an issue related to technical issue.
TKT00000003,CUST003390,ORD00023026,2023-09-17 09:06:14,2023-09-26 16:06:14,Order Cancellation,Low,Resolved,Web Form,5.0,Customer reported an issue related to account access.
TKT00000004,CUST001273,ORD00006842,2025-05-12 15:13:49,,Wrong Product,High,Open,Social Media,,Customer reported an issue related to damaged product.
TKT00000005,CUST000841,ORD00012575,2026-03-18 00:09:23,2026-03-24 01:09:23,Payment Issue,Medium,Resolved,Email,3.0,Customer reported an issue related to missing item.
TKT00000006,CUST002631,ORD00011682,2024-07-13 09:08:26,2024-07-19 08:08:26,Account Access,Critical,Resolved,Web Form,5.0,Customer reported an issue related to technical issue.
TKT00000007,CUST001206,ORD00004228,2026-02-02 21:06:11,2026-02-04 20:06:11,Technical Issue,High,Closed,Social Media,2.0,Customer reported an issue related to delivery delay.
TKT00000008,CUST001957,ORD00004264,2023-04-14 11:37:05,,Wrong Product,Critical,Open,Email,,Customer reported an issue related to delivery delay.
TKT00000009,CUST001926,,2024-08-09 04:06:55,2024-08-11 05:06:55,Wrong Product,High,Closed,Chat,4.0,Customer reported an issue related to technical issue.
TKT00000010,CUST004661,,2023-03-20 21:44:34,,Missing Item,Low,In Progress,Social Media,,Customer reported an issue related to delivery delay.
TKT00000011,CUST003985,ORD00028729,2026-06-23 14:26:22,,Technical Issue,Critical,In Progress,Web Form,,Customer reported an issue related to product information.
TKT00000012,CUST002174,ORD00015902,2025-04-25 09:22:57,2025-04-27 04:22:57,Wrong Product,High,Resolved,Social Media,1.0,Customer reported an issue related to damaged product.
TKT00000013,CUST002315,,2023-10-31 14:17:04,,Wrong Product,Medium,Open,Phone,,Customer reported an issue related to delivery delay.
TKT00000014,CUST002323,ORD00021763,2023-02-17 17:50:03,,Product Information,High,Open,Social Media,,Customer reported an issue related to missing item.
TKT00000015,CUST001436,ORD00009615,2025-04-05 06:32:21,,Damaged Product,High,In Progress,Web Form,,Customer reported an issue related to technical issue.
TKT00000016,CUST000103,ORD00018374,2024-04-07 02:43:39,,Delivery Delay,Critical,Open,Phone,,Customer reported an issue related to order cancellation.
TKT00000017,CUST001123,ORD00027457,2024-03-23 17:40:07,2024-03-24 19:40:07,Missing Item,Critical,Closed,Phone,5.0,Customer reported an issue related to damaged product.
TKT00000018,CUST001946,ORD00012738,2025-11-17 19:24:11,,Payment Issue,Medium,In Progress,Web Form,,Customer reported an issue related to technical issue.
TKT00000019,CUST002375,ORD00024141,2026-04-01 08:08:29,,Product Information,High,In Progress,Phone,,Customer reported an issue related to technical issue.
TKT00000020,CUST000373,,2024-01-03 13:04:19,2024-01-05 06:04:19,Missing Item,Critical,Closed,Email,5.0,Customer reported an issue related to product information.
TKT00000021,CUST002849,ORD00000055,2024-02-28 12:34:27,,Payment Issue,High,In Progress,Web Form,,Customer reported an issue related to order cancellation.
TKT00000022,CUST004722,ORD00027393,2023-08-07 23:09:43,,Order Cancellation,Medium,In Progress,Phone,,Customer reported an issue related to technical issue.
TKT00000023,CUST003838,ORD00002824,2024-10-11 14:45:01,,Wrong Product,Low,In Progress,Email,,Customer reported an issue related to technical issue.
TKT00000024,CUST004519,ORD00000394,2024-01-05 23:25:49,,Payment Issue,Critical,Open,Social Media,,Customer reported an issue related to technical issue.
TKT00000025,CUST003918,ORD00023706,2024-01-21 16:30:31,,Technical Issue,Medium,Open,Web Form,,Customer reported an issue related to refund request.
TKT00000026,CUST001696,ORD00021241,2025-01-23 14:47:19,2025-01-24 22:47:19,Delivery Delay,High,Closed,Phone,1.0,Customer reported an issue related to missing item.
TKT00000027,CUST004815,ORD00008513,2025-12-31 07:18:11,2026-01-07 06:18:11,Missing Item,Medium,Resolved,Phone,5.0,Customer reported an issue related to product information.
TKT00000028,CUST004306,ORD00008311,2026-06-23 09:06:03,2026-07-01 06:06:03,Order Cancellation,High,Resolved,Social Media,1.0,Customer reported an issue related to wrong product.
TKT00000029,CUST002410,,2025-09-20 02:42:58,,Wrong Product,Critical,In Progress,Phone,,Customer reported an issue related to delivery delay.
TKT00000030,CUST002142,ORD00001451,2024-10-12 06:42:38,,Order Cancellation,Critical,In Progress,Social Media,,Customer reported an issue related to product information.
TKT00000031,CUST004773,ORD00029287,2024-10-19 18:17:52,2024-10-29 18:17:52,Order Cancellation,Medium,Closed,Chat,3.0,Customer reported an issue related to damaged product.
TKT00000032,CUST004915,,2025-10-28 16:46:50,2025-10-31 07:46:50,Product Information,High,Closed,Chat,1.0,Customer reported an issue related to wrong product.
TKT00000033,CUST004097,ORD00018588,2023-11-24 02:14:19,,Technical Issue,Low,Open,Chat,,Customer reported an issue related to product information.
TKT00000034,CUST002066,ORD00019403,2023-06-24 18:33:44,,Payment Issue,Medium,Open,Phone,,Customer reported an issue related to missing item.
TKT00000035,CUST003344,ORD00001380,2025-05-25 13:43:39,2025-05-26 22:43:39,Payment Issue,Medium,Resolved,Social Media,4.0,Customer reported an issue related to payment issue.
TKT00000036,CUST004699,ORD00019766,2025-10-07 16:23:34,2025-10-12 12:23:34,Product Information,Medium,Closed,Email,4.0,Customer reported an issue related to product information.
TKT00000037,CUST001092,ORD00007374,2025-02-03 00:17:36,,Order Cancellation,High,In Progress,Web Form,,Customer reported an issue related to product information.
TKT00000038,CUST002305,ORD00009314,2025-04-16 03:14:39,2025-04-19 21:14:39,Product Information,Critical,Closed,Phone,3.0,Customer reported an issue related to product information.
TKT00000039,CUST003173,ORD00029350,2024-02-12 10:21:56,,Technical Issue,High,In Progress,Phone,,Customer reported an issue related to missing item.
TKT00000040,CUST004596,ORD00024786,2026-02-25 21:00:28,,Payment Issue,High,Open,Chat,,Customer reported an issue related to technical issue.
TKT00000041,CUST004001,ORD00017768,2025-08-04 18:45:44,2025-08-07 01:45:44,Payment Issue,Low,Resolved,Chat,1.0,Customer reported an issue related to wrong product.
TKT00000042,CUST004546,ORD00013877,2025-04-17 18:58:07,,Product Information,Critical,Open,Chat,,Customer reported an issue related to account access.
TKT00000043,CUST000921,,2026-03-11 17:01:33,,Payment Issue,High,In Progress,Chat,,Customer reported an issue related to refund request.
TKT00000044,CUST000849,ORD00018872,2026-01-29 15:29:59,2026-01-30 07:29:59,Account Access,Critical,Closed,Web Form,3.0,Customer reported an issue related to delivery delay.
TKT00000045,CUST003034,ORD00011068,2025-04-05 08:47:48,2025-04-10 06:47:48,Payment Issue,Critical,Resolved,Chat,5.0,Customer reported an issue related to product information.
TKT00000046,CUST002454,ORD00000195,2023-07-22 01:48:57,,Damaged Product,Medium,In Progress,Email,,Customer reported an issue related to payment issue.
TKT00000047,CUST002341,ORD00016683,2024-12-24 03:41:18,,Technical Issue,Critical,Open,Phone,,Customer reported an issue related to refund request.
TKT00000048,CUST001678,,2024-08-13 23:26:18,,Delivery Delay,High,Open,Social Media,,Customer reported an issue related to account access.
TKT00000049,CUST000803,ORD00020307,2026-06-01 09:14:38,,Technical Issue,Critical,Open,Social Media,,Customer reported an issue related to product information.
TKT00000050,CUST004194,ORD00024288,2024-08-19 21:31:14,2024-08-24 19:31:14,Product Information,Critical,Closed,Social Media,5.0,Customer reported an issue related to delivery delay.
TKT00000051,CUST002518,ORD00017577,2025-05-12 10:48:30,2025-05-13 02:48:30,Refund Request,Critical,Resolved,Chat,3.0,Customer reported an issue related to product information.
TKT00000052,CUST004835,,2024-04-16 01:14:37,2024-04-22 16:14:37,Technical Issue,Medium,Resolved,Social Media,4.0,Customer reported an issue related to order cancellation.
TKT00000053,CUST002091,ORD00008867,2023-11-04 12:12:12,2023-11-13 08:12:12,Damaged Product,Low,Closed,Email,1.0,Customer reported an issue related to technical issue.
TKT00000054,CUST002252,ORD00008369,2023-07-20 03:42:57,2023-07-22 21:42:57,Refund Request,Critical,Closed,Email,5.0,Customer reported an issue related to damaged product.
TKT00000055,CUST001590,ORD00016466,2024-06-06 07:25:46,2024-06-16 04:25:46,Damaged Product,Medium,Closed,Chat,3.0,Customer reported an issue related to damaged product.
TKT00000056,CUST003650,,2025-11-02 01:43:38,,Order Cancellation,Low,In Progress,Email,,Customer reported an issue related to missing item.
TKT00000057,CUST003750,ORD00017589,2024-08-31 08:50:22,2024-09-10 00:50:22,Technical Issue,Medium,Resolved,Phone,5.0,Customer reported an issue related to product information.
TKT00000058,CUST004042,ORD00022619,2026-04-14 12:15:28,2026-04-17 19:15:28,Product Information,High,Resolved,Phone,1.0,Customer reported an issue related to refund request.
TKT00000059,CUST001566,ORD00020075,2023-10-13 19:33:01,2023-10-15 13:33:01,Refund Request,Medium,Closed,Phone,1.0,Customer reported an issue related to technical issue.
TKT00000060,CUST000508,ORD00011212,2026-04-03 03:56:47,2026-04-08 01:56:47,Payment Issue,Low,Closed,Chat,5.0,Customer reported an issue related to account access.
TKT00000061,CUST003599,ORD00009484,2025-07-18 16:48:46,2025-07-26 14:48:46,Account Access,Low,Resolved,Chat,5.0,Customer reported an issue related to delivery delay.
TKT00000062,CUST000149,ORD00015997,2023-04-15 14:08:36,2023-04-25 04:08:36,Technical Issue,High,Closed,Social Media,4.0,Customer reported an issue related to damaged product.
TKT00000063,CUST004840,ORD00010371,2025-11-10 18:49:30,2025-11-15 19:49:30,Payment Issue,Medium,Resolved,Email,1.0,Customer reported an issue related to damaged product.
TKT00000064,CUST002251,ORD00001906,2025-08-11 19:25:07,2025-08-15 04:25:07,Damaged Product,High,Closed,Email,3.0,Customer reported an issue related to damaged product.
TKT00000065,CUST000043,ORD00007064,2024-02-13 11:17:11,2024-02-19 01:17:11,Account Access,High,Resolved,Web Form,1.0,Customer reported an issue related to account access.
TKT00000066,CUST001558,ORD00017288,2023-01-05 04:51:32,,Damaged Product,High,Open,Social Media,,Customer reported an issue related to order cancellation.
TKT00000067,CUST004409,,2024-08-04 16:21:57,2024-08-08 00:21:57,Payment Issue,Medium,Closed,Phone,2.0,Customer reported an issue related to payment issue.
TKT00000068,CUST000102,,2025-05-12 12:50:43,2025-05-14 21:50:43,Refund Request,Critical,Closed,Chat,4.0,Customer reported an issue related to wrong product.
TKT00000069,CUST004362,ORD00005975,2025-03-23 21:49:54,2025-04-02 01:49:54,Refund Request,High,Closed,Web Form,1.0,Customer reported an issue related to refund request.
TKT00000070,CUST002403,ORD00008864,2025-07-21 09:46:48,,Damaged Product,Low,Open,Web Form,,Customer reported an issue related to technical issue.
TKT00000071,CUST002217,ORD00015765,2023-05-10 00:09:58,2023-05-18 18:09:58,Technical Issue,Medium,Closed,Phone,1.0,Customer reported an issue related to payment issue.
TKT00000072,CUST000843,ORD00011129,2023-01-31 15:21:59,2023-02-05 21:21:59,Wrong Product,Critical,Closed,Phone,3.0,Customer reported an issue related to product information.
TKT00000073,CUST004007,ORD00021938,2023-04-25 01:53:53,2023-04-30 14:53:53,Missing Item,Low,Resolved,Social Media,4.0,Customer reported an issue related to refund request.
TKT00000074,CUST003689,ORD00022562,2026-06-17 16:15:00,2026-06-24 08:15:00,Product Information,Low,Closed,Email,5.0,Customer reported an issue related to account access.
TKT00000075,CUST002426,ORD00026389,2025-07-19 17:50:48,2025-07-29 10:50:48,Payment Issue,Critical,Resolved,Email,2.0,Customer reported an issue related to refund request.
TKT00000076,CUST002821,ORD00004237,2024-11-29 11:54:01,2024-12-01 05:54:01,Technical Issue,Medium,Resolved,Web Form,4.0,Customer reported an issue related to delivery delay.
TKT00000077,CUST004107,ORD00002282,2026-02-14 21:07:43,,Wrong Product,Low,Open,Chat,,Customer reported an issue related to wrong product.
TKT00000078,CUST001261,ORD00004690,2026-06-22 18:22:00,,Payment Issue,Critical,In Progress,Web Form,,Customer reported an issue related to account access.
TKT00000079,CUST003454,ORD00004480,2024-12-28 21:26:41,,Payment Issue,Critical,In Progress,Phone,,Customer reported an issue related to account access.
TKT00000080,CUST002961,ORD00002056,2023-01-07 06:19:39,2023-01-09 13:19:39,Wrong Product,Medium,Resolved,Phone,1.0,Customer reported an issue related to order cancellation.
TKT00000081,CUST003656,ORD00003403,2023-05-28 20:42:54,,Delivery Delay,Critical,In Progress,Phone,,Customer reported an issue related to payment issue.
TKT00000082,CUST002286,ORD00017189,2026-01-28 20:28:30,2026-02-02 17:28:30,Technical Issue,Medium,Resolved,Chat,4.0,Customer reported an issue related to order cancellation.
TKT00000083,CUST000949,,2023-03-30 09:51:00,,Product Information,Critical,In Progress,Web Form,,Customer reported an issue related to wrong product.
TKT00000084,CUST004314,,2023-06-11 10:29:40,,Wrong Product,Low,Open,Phone,,Customer reported an issue related to missing item.
TKT00000085,CUST002715,ORD00029489,2024-06-04 15:38:46,,Account Access,High,In Progress,Email,,Customer reported an issue related to missing item.
TKT00000086,CUST002968,ORD00017960,2023-12-03 18:34:42,,Refund Request,Medium,Open,Email,,Customer reported an issue related to refund request.
TKT00000087,CUST002112,ORD00023708,2025-05-14 14:18:09,2025-05-20 02:18:09,Payment Issue,Critical,Resolved,Phone,5.0,Customer reported an issue related to missing item.
TKT00000088,CUST003070,ORD00015728,2025-10-26 02:48:36,2025-10-26 16:48:36,Damaged Product,Critical,Closed,Email,2.0,Customer reported an issue related to refund request.
TKT00000089,CUST001405,ORD00000445,2024-01-15 14:32:59,2024-01-23 17:32:59,Delivery Delay,High,Closed,Phone,1.0,Customer reported an issue related to order cancellation.
TKT00000090,CUST001269,ORD00010534,2023-02-10 13:56:06,2023-02-13 20:56:06,Refund Request,Low,Resolved,Chat,3.0,Customer reported an issue related to wrong product.
TKT00000091,CUST004410,ORD00024878,2024-08-15 22:22:05,2024-08-20 08:22:05,Product Information,Low,Resolved,Email,1.0,Customer reported an issue related to missing item.
TKT00000092,CUST003626,,2025-03-21 23:07:18,2025-03-29 10:07:18,Wrong Product,Medium,Resolved,Web Form,3.0,Customer reported an issue related to payment issue.
